0,5,0,0,5,0.46631,203.73,100,0,600,100
0,5,0,5,5,0.46631,208.73,100,0,600,100
0,5,0,10,5,0.46631,213.73,100,0,600,100
0,10,0,0,10,0.46631,193,100,0,600,100
0,10,0,5,10,0.46631,198,100,0,600,100
0,10,0,10,10,0.46631,203,100,0,600,100
0,15,0,0,15,0.46631,182.28,100,0,600,100
0,15,0,5,15,0.46631,187.28,100,0,600,100
0,15,0,10,15,0.46631,192.28,100,0,600,100
0,5,0,0,5,1.19175,79.71,100,0,600,100
0,5,0,5,5,1.19175,84.71,100,0,600,100
0,5,0,10,5,1.19175,89.71,100,0,600,100
0,10,0,0,10,1.19175,75.52,100,0,600,100
0,10,0,5,10,1.19175,80.52,100,0,600,100
0,10,0,10,10,1.19175,85.52,100,0,600,100
0,15,0,0,15,1.19175,71.32,100,0,600,100
0,15,0,5,15,1.19175,76.32,100,0,600,100
0,15,0,10,15,1.19175,81.32,100,0,600,100
0,5,0,0,5,3.7321,25.45,100,0,600,100
0,5,0,5,5,3.7321,30.45,100,0,600,100
0,5,0,10,5,3.7321,35.45,100,0,600,100
0,10,0,0,10,3.7321,24.12,100,0,600,100
0,10,0,5,10,3.7321,29.12,100,0,600,100
0,10,0,10,10,3.7321,34.12,100,0,600,100
0,15,0,0,15,3.7321,22.78,100,0,600,100
0,15,0,5,15,3.7321,27.78,100,0,600,100
0,15,0,10,15,3.7321,32.78,100,0,600,100
