,rmsre_grad
mean,0.6298815304880101
lower_limit,0.15214716239425113
upper_limit,0.2584813242057
lower_value,0.47773436809375897
upper_value,0.8883628546937101
0,0.6505410840676611
1,0.8883628546937101
2,0.5851372595242869
3,0.6505410840676611
4,0.8883628546937101
5,0.5851372595242869
6,0.6505410840676611
7,0.8883628546937101
8,0.5851372595242869
9,0.6505410840676611
10,0.8883628546937101
11,0.5851372595242869
12,0.6505410840676611
13,0.8883628546937101
14,0.5851372595242869
15,0.6505410840676611
16,0.8883628546937101
17,0.5851372595242869
18,0.6505410840676611
19,0.8883628546937101
20,0.5851372595242869
21,0.6505410840676611
22,0.8883628546937101
23,0.5851372595242869
24,0.6505410840676611
25,0.8883628546937101
26,0.5851372595242869
27,0.6505410840676611
28,0.8883628546937101
29,0.5851372595242869
30,0.6505410840676611
31,0.8883628546937101
32,0.5851372595242869
33,0.6505410840676611
34,0.8883628546937101
35,0.5851372595242869
36,0.7105588109302244
37,0.47773436809375897
38,0.6185000616899886
39,0.7105588109302244
40,0.47773436809375897
41,0.6185000616899886
42,0.7105588109302244
43,0.47773436809375897
44,0.6185000616899886
45,0.7105588109302244
46,0.47773436809375897
47,0.6185000616899886
48,0.7105588109302244
49,0.47773436809375897
50,0.6185000616899886
51,0.7105588109302244
52,0.47773436809375897
53,0.6185000616899886
54,0.7105588109302244
55,0.47773436809375897
56,0.6185000616899886
57,0.7105588109302244
58,0.47773436809375897
59,0.6185000616899886
60,0.7105588109302244
61,0.47773436809375897
62,0.6185000616899886
63,0.7105588109302244
64,0.47773436809375897
65,0.6185000616899886
66,0.7105588109302244
67,0.47773436809375897
68,0.6185000616899886
69,0.7105588109302244
70,0.47773436809375897
71,0.6185000616899886
72,0.581210077702748
73,0.5198694122817398
74,0.5919126992491459
75,0.581210077702748
76,0.5198694122817398
77,0.5919126992491459
78,0.581210077702748
79,0.5198694122817398
80,0.5919126992491459
81,0.581210077702748
82,0.5198694122817398
83,0.5919126992491459
84,0.581210077702748
85,0.5198694122817398
86,0.5919126992491459
87,0.581210077702748
88,0.5198694122817398
89,0.5919126992491459
90,0.581210077702748
91,0.5198694122817398
92,0.5919126992491459
93,0.581210077702748
94,0.5198694122817398
95,0.5919126992491459
96,0.581210077702748
97,0.5198694122817398
98,0.5919126992491459
99,0.581210077702748
